Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7,Load_H2_tonne_per_hr_z8,Load_H2_tonne_per_hr_z9,,,,,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7,Load_H2_tonne_per_hr_z8,Load_H2_tonne_per_hr_z9
,,,,,,,190,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,191,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,192,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,193,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,194,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,195,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,196,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,197,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,198,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,199,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,200,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,201,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,202,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,203,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,204,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,205,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,206,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,207,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,208,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,209,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,210,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,211,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,212,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
