Time_Index,Electricity_MW_CA,Electricity_MW_NW,Electricity_MW_SW,Electricity_MW_TX,Electricity_MW_NCEN,Electricity_MW_CEN,Electricity_MW_SE,Electricity_MW_MIDAT,Electricity_MW_NE,Hydrogen_MW_CA,Hydrogen_MW_NW,Hydrogen_MW_SW,Hydrogen_MW_TX,Hydrogen_MW_NCEN,Hydrogen_MW_CEN,Hydrogen_MW_SE,Hydrogen_MW_MIDAT,Hydrogen_MW_NE,NaturalGas_MW_CA,NaturalGas_MW_NW,NaturalGas_MW_SW,NaturalGas_MW_TX,NaturalGas_MW_NCEN,NaturalGas_MW_CEN,NaturalGas_MW_SE,NaturalGas_MW_MIDAT,NaturalGas_MW_NE,Diesel_MW_Global,Gasoline_MW_Global,JetFuel_MW_Global,Demand_Zero
62,62992,38628,46937,77589,145481,76432,167178,144167,84420,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
63,63246,38091,45984,76131,145499,75293,170100,146692,86384,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
64,62902,37398,45606,77071,149466,76648,179975,155793,93187,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
65,64001,37405,46857,80307,158189,80200,196577,171646,103026,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
66,67465,38708,49970,85825,163708,86148,191297,161345,97468,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
67,73215,40928,54954,80621,151749,80295,170285,144096,84872,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
68,78493,42505,53429,72095,137500,72338,157138,139518,81289,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
69,71229,38177,47885,68737,129799,69642,145114,123761,67380,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
70,60109,34147,44226,64351,118431,64454,134699,113488,60313,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
71,55853,32229,40699,61077,110094,60732,126798,107169,56016,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
