commodity,zone,resource_id,component_id,resource_type,component_type,variable,time,value
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,101,0.09223439956122093
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,102,0.08834011213048143
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,103,0.0822008962200016
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,104,0.08115963252544134
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,105,0.07440638358980323
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,106,0.07454815388587122
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,107,0.08005884030058041
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,108,0.10171006750783818
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,109,0.07596443599277336
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,110,0.07509530428865219
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,111,0.07745360038825311
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,112,0.10173547338786193
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,113,0.10166820285962785
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,114,0.07630847286304743
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,115,0.0719871181408962
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,116,0.07152326044229085
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,117,0.07330345914215286
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,118,0.07102523292928709
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,119,0.07002481338713551
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,120,0.07595292239034279
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,121,0.10203893390303165
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,122,0.12890390174334243
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,123,0.12599455065969778
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,124,0.12351772348574741
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,125,0.12247457569560538
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,126,0.12034720420979284
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,127,0.09422107617956499
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,128,0.06949685179438347
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,129,0.06268922439198832
Electricity,CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,UnidirectionalEdge{Electricity},curtailment,130,0.0656874054329819
