Time_Index,MIDAT_conventional_hydroelectric_1,MIDAT_hydroelectric_pumped_storage_1,MIDAT_natural_gas_fired_combined_cycle_1,MIDAT_natural_gas_fired_combined_cycle_2,MIDAT_natural_gas_fired_combined_cycle_3,MIDAT_natural_gas_fired_combined_cycle_4,MIDAT_natural_gas_fired_combustion_turbine_1,MIDAT_natural_gas_fired_combustion_turbine_2,MIDAT_nuclear_1,MIDAT_nuclear_2,MIDAT_onshore_wind_turbine_1,MIDAT_small_hydroelectric_1,MIDAT_solar_photovoltaic_1,MIDAT_naturalgas_ccavgcf_moderate_0,MIDAT_naturalgas_ctavgcf_moderate_0,MIDAT_battery_moderate_0,MIDAT_nuclear_mid_0,MIDAT_utilitypv_class1_moderate_70_0_2_1,MIDAT_utilitypv_class1_moderate_70_0_2_2,MIDAT_utilitypv_class1_moderate_70_0_2_3,MIDAT_utilitypv_class1_moderate_70_0_2_4,MIDAT_utilitypv_class1_moderate_70_0_2_5,MIDAT_utilitypv_class1_moderate_70_0_2_6,MIDAT_utilitypv_class1_moderate_70_0_2_7,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_7
51,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.736313982,0.201446917,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.736313982,0.742063203,0.699614284,0.795896174,0.691013914,0.602959819,0.721518996
52,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.748503456,0.201446917,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748503456,0.747683474,0.698533492,0.790404476,0.690190252,0.609499195,0.718729069
53,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.756058438,0.201446917,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.756058438,0.751606729,0.696631289,0.785616156,0.689706797,0.60829044,0.71806388
54,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.772475389,0.201446917,0.00081364,1.0,1.0,1.0,1.0,0.00081364,0.000559916,0.003076491,0.0,2.5e-6,0.000137044,0.0,0.772475389,0.758984233,0.701558925,0.781906305,0.684804523,0.589680252,0.713858132
55,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.774218665,0.201446917,0.128638794,1.0,1.0,1.0,1.0,0.128638794,0.124782624,0.18457905,0.006558559,0.12707603,0.054001763,0.027930419,0.774218665,0.76240544,0.686725522,0.780975374,0.692928294,0.588449621,0.711234101
56,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.753323243,0.201446917,0.50881042,1.0,1.0,1.0,1.0,0.50881042,0.445117275,0.544628181,0.077368914,0.517302841,0.198113493,0.159930563,0.753323243,0.746536759,0.641093369,0.77554719,0.686307539,0.586792527,0.702880139
57,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.704388821,0.201446917,0.573491376,1.0,1.0,1.0,1.0,0.573491376,0.519340135,0.583384862,0.096719755,0.567471949,0.223556488,0.219150861,0.704388821,0.62422731,0.476040689,0.745299003,0.602312971,0.565095244,0.6722608
58,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.71865653,0.201446917,0.484265327,1.0,1.0,1.0,1.0,0.484265327,0.480037595,0.543174595,0.095070264,0.46658811,0.174610527,0.276429886,0.71865653,0.526004808,0.409852908,0.617735494,0.50729932,0.539158765,0.600544519
59,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.739424682,0.201446917,0.439540315,1.0,1.0,1.0,1.0,0.439540315,0.453250819,0.466591924,0.109474391,0.441134471,0.156490054,0.256767154,0.739424682,0.549421868,0.422301893,0.56394564,0.491255868,0.526105078,0.619732013
60,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.738937226,0.201446917,0.466346255,1.0,1.0,1.0,1.0,0.466346255,0.443390494,0.411536283,0.143776554,0.446994437,0.14294185,0.229146863,0.738937226,0.559918745,0.409627825,0.556241009,0.489595925,0.544158598,0.629955455
