zone,Investment,FixedOM,VariableOM,Fuel,Startup,Total
co2_sink_SE_Bio_H2_CCS_99_Herb_transforms,0.0,0.0,6.662772019685216e-8,0.0,0.0,6.662772019685216e-8
SE_Bio_H2_CCS_99_Herb_transforms_co2_sink,0.0,0.0,1.6144403221168865e-9,0.0,0.0,1.6144403221168865e-9
co2_sink_MIDAT_Bio_H2_CCS_99_Herb_transforms,0.0,0.0,6.527524327243726e-8,0.0,0.0,6.527524327243726e-8
MIDAT_Bio_H2_CCS_99_Herb_transforms_co2_sink,0.0,0.0,1.571502066704252e-9,0.0,0.0,1.571502066704252e-9
co2_sink_NE_Bio_H2_CCS_99_Herb_transforms,0.0,0.0,6.441393135222028e-8,0.0,0.0,6.441393135222028e-8
NE_Bio_H2_CCS_99_Herb_transforms_co2_sink,0.0,0.0,1.5460899630749457e-9,0.0,0.0,1.5460899630749457e-9
co2_sink_CA_Bio_H2_CCS_99_Wood_transforms,0.0,0.0,9.339090658471015e-8,0.0,0.0,9.339090658471015e-8
CA_Bio_H2_CCS_99_Wood_transforms_co2_sink,0.0,0.0,2.1720715956686255e-9,0.0,0.0,2.1720715956686255e-9
co2_sink_NW_Bio_H2_CCS_99_Wood_transforms,0.0,0.0,9.642115206873978e-8,0.0,0.0,9.642115206873978e-8
NW_Bio_H2_CCS_99_Wood_transforms_co2_sink,0.0,0.0,2.2601274798763097e-9,0.0,0.0,2.2601274798763097e-9
co2_sink_SW_Bio_H2_CCS_99_Wood_transforms,0.0,0.0,9.34329293068835e-8,0.0,0.0,9.34329293068835e-8
SW_Bio_H2_CCS_99_Wood_transforms_co2_sink,0.0,0.0,2.2040513924642193e-9,0.0,0.0,2.2040513924642193e-9
co2_sink_TX_Bio_H2_CCS_99_Wood_transforms,0.0,0.0,9.080113457995481e-8,0.0,0.0,9.080113457995481e-8
TX_Bio_H2_CCS_99_Wood_transforms_co2_sink,0.0,0.0,2.1263828422608233e-9,0.0,0.0,2.1263828422608233e-9
co2_sink_NCEN_Bio_H2_CCS_99_Wood_transforms,0.0,0.0,8.87168094244707e-8,0.0,0.0,8.87168094244707e-8
NCEN_Bio_H2_CCS_99_Wood_transforms_co2_sink,0.0,0.0,2.0901235020793845e-9,0.0,0.0,2.0901235020793845e-9
co2_sink_CEN_Bio_H2_CCS_99_Wood_transforms,0.0,0.0,9.230759034871194e-8,0.0,0.0,9.230759034871194e-8
CEN_Bio_H2_CCS_99_Wood_transforms_co2_sink,0.0,0.0,2.174720498401312e-9,0.0,0.0,2.174720498401312e-9
co2_sink_SE_Bio_H2_CCS_99_Wood_transforms,0.0,0.0,8.917582299044741e-8,0.0,0.0,8.917582299044741e-8
SE_Bio_H2_CCS_99_Wood_transforms_co2_sink,0.0,0.0,2.088321261937585e-9,0.0,0.0,2.088321261937585e-9
co2_sink_MIDAT_Bio_H2_CCS_99_Wood_transforms,0.0,0.0,8.439869662943067e-8,0.0,0.0,8.439869662943067e-8
MIDAT_Bio_H2_CCS_99_Wood_transforms_co2_sink,0.0,0.0,1.985856260917208e-9,0.0,0.0,1.985856260917208e-9
co2_sink_NE_Bio_H2_CCS_99_Wood_transforms,0.0,0.0,8.132255256073951e-8,0.0,0.0,8.132255256073951e-8
NE_Bio_H2_CCS_99_Wood_transforms_co2_sink,0.0,0.0,1.901425294957477e-9,0.0,0.0,1.901425294957477e-9
co2_sink_CA_Bio_H2_CCS_99_Agri_transforms,0.0,0.0,8.961947546818806e-8,0.0,0.0,8.961947546818806e-8
CA_Bio_H2_CCS_99_Agri_transforms_co2_sink,0.0,0.0,2.170064202968884e-9,0.0,0.0,2.170064202968884e-9
co2_sink_NW_Bio_H2_CCS_99_Agri_transforms,0.0,0.0,8.348807731615924e-8,0.0,0.0,8.348807731615924e-8
NW_Bio_H2_CCS_99_Agri_transforms_co2_sink,0.0,0.0,2.0608216851201454e-9,0.0,0.0,2.0608216851201454e-9
co2_sink_SW_Bio_H2_CCS_99_Agri_transforms,0.0,0.0,9.042041714312333e-8,0.0,0.0,9.042041714312333e-8
SW_Bio_H2_CCS_99_Agri_transforms_co2_sink,0.0,0.0,2.213837818816243e-9,0.0,0.0,2.213837818816243e-9
co2_sink_TX_Bio_H2_CCS_99_Agri_transforms,0.0,0.0,8.492836998004218e-8,0.0,0.0,8.492836998004218e-8
TX_Bio_H2_CCS_99_Agri_transforms_co2_sink,0.0,0.0,2.1200479979707052e-9,0.0,0.0,2.1200479979707052e-9
co2_sink_NCEN_Bio_H2_CCS_99_Agri_transforms,0.0,0.0,9.462567443070232e-8,0.0,0.0,9.462567443070232e-8
NCEN_Bio_H2_CCS_99_Agri_transforms_co2_sink,0.0,0.0,2.2983644204308016e-9,0.0,0.0,2.2983644204308016e-9
co2_sink_CEN_Bio_H2_CCS_99_Agri_transforms,0.0,0.0,8.613732448743655e-8,0.0,0.0,8.613732448743655e-8
